uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q150281,Dorothy Day,1897,membership,http://www.wikidata.org/entity/Q623009,National Woman's Party,2,organization | political party,1890-1919,"['organization', 'political party']"
http://www.wikidata.org/entity/Q150281,Dorothy Day,1897,employment,http://www.wikidata.org/entity/Q7750564,The Masses,1,periodical,1890-1919,['periodical']
http://www.wikidata.org/entity/Q150281,Dorothy Day,1897,employment,http://www.wikidata.org/entity/Q13436395,New York Call,1,daily newspaper,1890-1919,['daily newspaper']
http://www.wikidata.org/entity/Q150281,Dorothy Day,1897,employment,http://www.wikidata.org/entity/Q737529,Staten Island Advance,1,newspaper,1890-1919,['newspaper']
http://www.wikidata.org/entity/Q15080233,Emily Arnesen,1867,employment,http://www.wikidata.org/entity/Q12011265,Oslo Zoological Museum,4,architectural structure | museum | university museum | zoological museum,1860-1889,"['architectural structure', 'museum', 'university museum', 'zoological museum']"
http://www.wikidata.org/entity/Q15080233,Emily Arnesen,1867,membership,http://www.wikidata.org/entity/Q49260,Norwegian Association for Women's Rights,1,political organization,1860-1889,['political organization']
http://www.wikidata.org/entity/Q15080233,Emily Arnesen,1867,membership,http://www.wikidata.org/entity/Q60564688,International Committee of Women for Permanent Peace,3,international organization | peace organization | women's organization,1860-1889,"['international organization', 'peace organization', ""women's organization""]"
http://www.wikidata.org/entity/Q1521452,Ghassan Andoni,1956,employment,http://www.wikidata.org/entity/Q510029,Birzeit University,1,university,1950-1979,['university']
http://www.wikidata.org/entity/Q1537875,Katrin McClean,1963,employment,http://www.wikidata.org/entity/Q2430835,Landestheater Eisenach,1,theatre building,1950-1979,['theatre building']
http://www.wikidata.org/entity/Q15407080,Marcelle Capy,1891,membership,http://www.wikidata.org/entity/Q1429947,Human Rights League,1,organization,1890-1919,['organization']
http://www.wikidata.org/entity/Q15639161,Else Zeuthen,1897,employment,http://www.wikidata.org/entity/Q186285,University of Copenhagen,2,organization | public research university,1890-1919,"['organization', 'public research university']"
http://www.wikidata.org/entity/Q157655,Mairead Maguire,1944,membership,http://www.wikidata.org/entity/Q7045639,Nobel Women's Initiative,2,advocacy group | international organization,1920-1949,"['advocacy group', 'international organization']"
http://www.wikidata.org/entity/Q157690,Betty Williams,1943,employment,http://www.wikidata.org/entity/Q1422594,Sam Houston State University,2,public educational institution of the united states | university,1920-1949,"['public educational institution of the united states', 'university']"
