uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q117467,Royal Society of Edinburgh,2,national academy | academy of sciences,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,employment,http://www.wikidata.org/entity/Q41506,Stanford University,4,research university | private university | private not-for-profit educational institution | open-access publisher,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q2370801,Academy of Sciences of the USSR,1,academy of sciences,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,employment,http://www.wikidata.org/entity/Q161562,California Institute of Technology,2,private not-for-profit educational institution | university,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,employment,http://www.wikidata.org/entity/Q861888,Oregon State University,8,public research university | space grant institution | sea grant institution | public educational institution of the United States | research university | land-grant university | sun grant institution | public university,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q123885,Royal Society,6,national academy | publishing company | open-access publisher | organization | learned society | academy of sciences,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q466089,American Philosophical Society,2,learned society | nonprofit organization,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,employment,http://www.wikidata.org/entity/Q3151762,Linus Pauling Institute,1,research institute,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q651690,Polish Academy of Sciences,4,national academy | open-access publisher | learned society | academy of sciences,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q543804,German Academy of Sciences Leopoldina,3,national academy | learned society | academy of sciences,1901-1920
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901,membership,http://www.wikidata.org/entity/Q463303,American Academy of Arts and Sciences,3,academic publisher | learned society | nonprofit organization,1901-1920
http://www.wikidata.org/entity/Q4945589,Crystal Eastman,1881,membership,http://www.wikidata.org/entity/Q689768,Women's International League for Peace and Freedom,4,women's organization | international organization | nonprofit organization | non-governmental organization,1851-1900
http://www.wikidata.org/entity/Q4945589,Crystal Eastman,1881,membership,http://www.wikidata.org/entity/Q623009,National Woman's Party,2,organization | political party,1851-1900
http://www.wikidata.org/entity/Q4945589,Crystal Eastman,1881,membership,http://www.wikidata.org/entity/Q5747151,Heterodoxy,1,discussion group,1851-1900
http://www.wikidata.org/entity/Q496482,Andreas Buro,1928,employment,http://www.wikidata.org/entity/Q50662,Goethe University Frankfurt,4,public university | comprehensive university | local Internet registry | organization,1921-1940
http://www.wikidata.org/entity/Q4965649,Brian Willson,1941,membership,http://www.wikidata.org/entity/Q7923676,Veterans for Peace,1,organization,1941-1960
http://www.wikidata.org/entity/Q4971803,Ellen Palmstierna,1869,membership,http://www.wikidata.org/entity/Q101219269,Föreningen för kvinnans politiska rösträtt i Jönköping,1,organization,1851-1900
http://www.wikidata.org/entity/Q4976473,Naima Sahlbom,1871,membership,http://www.wikidata.org/entity/Q689768,Women's International League for Peace and Freedom,4,women's organization | international organization | nonprofit organization | non-governmental organization,1851-1900
http://www.wikidata.org/entity/Q5006416,C. E. M. Joad,1891,employment,http://www.wikidata.org/entity/Q375606,"Birkbeck, University of London",4,public research university | constituent college | higher education institution | educational organization,1851-1900
http://www.wikidata.org/entity/Q50368769,Märta Bucht,1882,membership,http://www.wikidata.org/entity/Q101219281,Föreningen för kvinnans politiska rösträtt i Luleå,1,organization,1851-1900
http://www.wikidata.org/entity/Q50403214,Mary Dingman,1875,employment,http://www.wikidata.org/entity/Q643370,Young Women’s Christian Association,3,religious organization | women's organization | nonprofit organization,1851-1900
http://www.wikidata.org/entity/Q50403214,Mary Dingman,1875,employment,http://www.wikidata.org/entity/Q1065,United Nations,2,intergovernmental organization | international organization,1851-1900
http://www.wikidata.org/entity/Q5052605,"Catherine Courtney, Baroness Courtney of Penwith",1847,employment,http://www.wikidata.org/entity/Q7593873,"St Jude's Church, Kensington",1,church building,1801-1850
http://www.wikidata.org/entity/Q505362,Francesco Calogero,1935,employment,http://www.wikidata.org/entity/Q60650497,"Department of Statistical Sciences, Sapienza University of Rome",1,academic department,1921-1940
http://www.wikidata.org/entity/Q505362,Francesco Calogero,1935,employment,http://www.wikidata.org/entity/Q209344,Sapienza University of Rome,2,organization | public university,1921-1940
http://www.wikidata.org/entity/Q50571960,Luz Marina Bernal,1959,membership,http://www.wikidata.org/entity/Q130469048,MAFAPO,3,human rights organization | women's organization | organization,1941-1960
http://www.wikidata.org/entity/Q51094,Yuri Shevchuk,1957,membership,http://www.wikidata.org/entity/Q949424,DDT,1,musical group,1941-1960
http://www.wikidata.org/entity/Q5147724,Colman McCarthy,1938,employment,http://www.wikidata.org/entity/Q168000,American University,3,private not-for-profit educational institution | research university | private university,1921-1940
http://www.wikidata.org/entity/Q5147724,Colman McCarthy,1938,employment,http://www.wikidata.org/entity/Q846101,Georgetown University Law Center,1,law school,1921-1940
http://www.wikidata.org/entity/Q515387,Lillian Wald,1867,membership,http://www.wikidata.org/entity/Q689768,Women's International League for Peace and Freedom,4,women's organization | international organization | nonprofit organization | non-governmental organization,1851-1900
