p,propLabel,eff
http://www.wikidata.org/prop/direct/P1430,Open Plaques subject ID,18
http://www.wikidata.org/prop/direct/P1830,owner of,18
http://www.wikidata.org/prop/direct/P1902,Spotify artist ID,18
http://www.wikidata.org/prop/direct/P2032,work period (end),18
http://www.wikidata.org/prop/direct/P2387,Elonet person ID,18
http://www.wikidata.org/prop/direct/P7502,Golden ID,18
http://www.wikidata.org/prop/direct/P8024,Nobel Laureate API ID,18
http://www.wikidata.org/prop/direct/P9885,Bing entity ID,18
http://www.wikidata.org/prop/direct/P4539,Collective Biographies of Women ID,17
http://www.wikidata.org/prop/direct/P5306,LONSEA ID,17
http://www.wikidata.org/prop/direct/P5404,Rate Your Music artist ID,17
http://www.wikidata.org/prop/direct/P6262,Fandom article ID,17
http://www.wikidata.org/prop/direct/P8750,Unione Romana Biblioteche Scientifiche ID,17
http://www.wikidata.org/prop/direct/P8795,Diamond Catalog ID for persons and organisations,17
http://www.wikidata.org/prop/direct/P9097,American Academy in Rome ID,17
http://www.wikidata.org/prop/direct/P11386,Listal ID,17
http://www.wikidata.org/prop/direct/P1711,British Museum person or institution ID,16
http://www.wikidata.org/prop/direct/P2168,Swedish Film Database person ID,16
http://www.wikidata.org/prop/direct/P2722,Deezer artist ID,16
http://www.wikidata.org/prop/direct/P4963,Svenskt kvinnobiografiskt lexikon ID,16
http://www.wikidata.org/prop/direct/P5419,NYRB contributor ID,16
http://www.wikidata.org/prop/direct/P6058,Larousse ID,16
http://www.wikidata.org/prop/direct/P7700,Slovak National Library (VIAF) ID,16
http://www.wikidata.org/prop/direct/P12086,WikiKids ID,16
http://www.wikidata.org/prop/direct/P12800,Vikidia article ID,16
http://www.wikidata.org/prop/direct/P1801,plaque image,15
http://www.wikidata.org/prop/direct/P1871,CERL Thesaurus ID,15
http://www.wikidata.org/prop/direct/P1890,CCAB ID,15
http://www.wikidata.org/prop/direct/P2381,Academic Tree ID,15
http://www.wikidata.org/prop/direct/P3051,Kindred Britain ID,15
http://www.wikidata.org/prop/direct/P4359,gravsted.dk ID,15
http://www.wikidata.org/prop/direct/P4789,Who's Who UK ID,15
http://www.wikidata.org/prop/direct/P5341,Poetry Foundation ID,15
http://www.wikidata.org/prop/direct/P6404,Treccani's Dizionario di Storia ID,15
http://www.wikidata.org/prop/direct/P7212,LyricsTranslate ID,15
http://www.wikidata.org/prop/direct/P11683,Ivi person ID,15
http://www.wikidata.org/prop/direct/P12386,Dansk Forfatterleksikon ID,15
http://www.wikidata.org/prop/direct/P902,HDS ID,14
http://www.wikidata.org/prop/direct/P1828,IPI name number,14
http://www.wikidata.org/prop/direct/P2373,Genius artist ID,14
http://www.wikidata.org/prop/direct/P4223,Treccani's Enciclopedia Italiana ID,14
http://www.wikidata.org/prop/direct/P8125,Fandango person ID,14
http://www.wikidata.org/prop/direct/P8974,SAPA ID,14
http://www.wikidata.org/prop/direct/P9159,People Australia ID,14
http://www.wikidata.org/prop/direct/P9212,Dizionario biografico online degli anarchici italiani ID,14
http://www.wikidata.org/prop/direct/P9807,SNK ID,14
http://www.wikidata.org/prop/direct/P10527,documentation files at,14
http://www.wikidata.org/prop/direct/P11137,Reddit topic ID,14
http://www.wikidata.org/prop/direct/P611,religious order,13
http://www.wikidata.org/prop/direct/P1327,partner in business or sport,13
http://www.wikidata.org/prop/direct/P1553,Yandex Music artist ID,13
http://www.wikidata.org/prop/direct/P1977,Les Archives du spectacle person ID,13
http://www.wikidata.org/prop/direct/P3782,Artnet artist ID,13
http://www.wikidata.org/prop/direct/P4527,UK Parliament thesaurus ID,13
http://www.wikidata.org/prop/direct/P6868,Hoopla artist ID,13
http://www.wikidata.org/prop/direct/P6872,has written for,13
http://www.wikidata.org/prop/direct/P8234,LiederNet author ID,13
http://www.wikidata.org/prop/direct/P8568,Jewish Virtual Library ID,13
http://www.wikidata.org/prop/direct/P8971,Cinémathèque québécoise person ID,13
http://www.wikidata.org/prop/direct/P9058,Fichier des personnes décédées ID (matchID),13
http://www.wikidata.org/prop/direct/P9251,Cyprus University of Technology ID,13
http://www.wikidata.org/prop/direct/P9600,oral history at,13
http://www.wikidata.org/prop/direct/P9802,Penguin Random House author ID,13
http://www.wikidata.org/prop/direct/P10141,Academy of Athens authority ID,13
http://www.wikidata.org/prop/direct/P11194,Famous Birthdays ID,13
http://www.wikidata.org/prop/direct/P11500,United States House of Representatives ID,13
http://www.wikidata.org/prop/direct/P11514,Great Russian Encyclopedia portal ID,13
http://www.wikidata.org/prop/direct/P12430,The StoryGraph author ID,13
http://www.wikidata.org/prop/direct/P12836,Douban personage ID,13
http://www.wikidata.org/prop/direct/P13019,RedBA Granada authority ID,13
http://www.wikidata.org/prop/direct/P91,sexual orientation,12
http://www.wikidata.org/prop/direct/P361,part of,12
http://www.wikidata.org/prop/direct/P511,honorific prefix,12
http://www.wikidata.org/prop/direct/P1258,Rotten Tomatoes ID,12
http://www.wikidata.org/prop/direct/P1556,zbMATH author ID,12
http://www.wikidata.org/prop/direct/P1576,lifestyle,12
http://www.wikidata.org/prop/direct/P1670,Canadiana Authorities ID (former scheme),12
http://www.wikidata.org/prop/direct/P2611,TED speaker ID,12
http://www.wikidata.org/prop/direct/P2732,Persée author ID,12
http://www.wikidata.org/prop/direct/P2745,Dictionary of New Zealand Biography ID,12
http://www.wikidata.org/prop/direct/P2909,SecondHandSongs artist ID,12
http://www.wikidata.org/prop/direct/P3569,Cultureel Woordenboek ID,12
http://www.wikidata.org/prop/direct/P3997,Bait La Zemer Ha-Ivri artist ID,12
http://www.wikidata.org/prop/direct/P4343,WBPLN author ID,12
http://www.wikidata.org/prop/direct/P4208,Billboard artist ID,12
http://www.wikidata.org/prop/direct/P5534,Open Media Database person ID,12
http://www.wikidata.org/prop/direct/P6634,LinkedIn personal profile ID,12
http://www.wikidata.org/prop/direct/P7303,Grammy Awards artist ID,12
http://www.wikidata.org/prop/direct/P7775,RationalWiki ID,12
http://www.wikidata.org/prop/direct/P7929,Roglo person ID,12
http://www.wikidata.org/prop/direct/P8385,IDU person ID,12
http://www.wikidata.org/prop/direct/P9629,Armeniapedia ID,12
http://www.wikidata.org/prop/direct/P9965,Musik-Sammler.de artist ID,12
http://www.wikidata.org/prop/direct/P10757,Personality Database profile ID,12
http://www.wikidata.org/prop/direct/P11158,Dimitri and Aliki Perrotis Central Library ID,12
http://www.wikidata.org/prop/direct/P358,discography,11
http://www.wikidata.org/prop/direct/P641,sport,11
http://www.wikidata.org/prop/direct/P650,RKDartists ID,11
http://www.wikidata.org/prop/direct/P651,Biografisch Portaal van Nederland ID,11
http://www.wikidata.org/prop/direct/P1424,topic's main template,11
http://www.wikidata.org/prop/direct/P2519,Scope.dk person ID,11
http://www.wikidata.org/prop/direct/P4186,Australian Women's Register ID,11
http://www.wikidata.org/prop/direct/P5343,Poets.org poet ID,11
http://www.wikidata.org/prop/direct/P7084,related category,11
http://www.wikidata.org/prop/direct/P7939,Dansk kvindebiografisk leksikon ID,11
http://www.wikidata.org/prop/direct/P7947,WeChangEd ID,11
http://www.wikidata.org/prop/direct/P9322,SVKKL authority ID,11
http://www.wikidata.org/prop/direct/P11239,DFK Paris person ID,11
http://www.wikidata.org/prop/direct/P12153,FilmAffinity person ID,11
http://www.wikidata.org/prop/direct/P12483,PMB – Personen der Moderne Basis person ID,11
http://www.wikidata.org/prop/direct/P412,voice type,10
http://www.wikidata.org/prop/direct/P863,InPhO ID,10
http://www.wikidata.org/prop/direct/P1153,Scopus author ID,10
http://www.wikidata.org/prop/direct/P1907,Australian Dictionary of Biography ID,10
http://www.wikidata.org/prop/direct/P2638,TV.com ID,10
http://www.wikidata.org/prop/direct/P2868,subject has role,10
http://www.wikidata.org/prop/direct/P4514,Africultures person ID,10
http://www.wikidata.org/prop/direct/P4574,Norwegian historical register of persons ID,10
http://www.wikidata.org/prop/direct/P6150,Academy Awards Database nominee ID,10
http://www.wikidata.org/prop/direct/P6327,Goodreads character ID,10
http://www.wikidata.org/prop/direct/P8591,Grove Music Online ID,10
http://www.wikidata.org/prop/direct/P9328,Universal Music France artist ID,10
http://www.wikidata.org/prop/direct/P9463,MovieMeter person ID,10
http://www.wikidata.org/prop/direct/P13591,Yale LUX ID,10
http://www.wikidata.org/prop/direct/P97,noble title,9
http://www.wikidata.org/prop/direct/P1186,MEP directory ID,9
http://www.wikidata.org/prop/direct/P1607,Dialnet author ID,9
http://www.wikidata.org/prop/direct/P1788,DVN ID,9
http://www.wikidata.org/prop/direct/P2450,Encyclopædia Britannica contributor ID,9
http://www.wikidata.org/prop/direct/P2533,WomenWriters ID,9
http://www.wikidata.org/prop/direct/P2650,interested in,9
http://www.wikidata.org/prop/direct/P3106,Guardian topic ID,9
http://www.wikidata.org/prop/direct/P3221,New York Times topic ID,9
http://www.wikidata.org/prop/direct/P3232,PhilPapers author ID,9
http://www.wikidata.org/prop/direct/P3544,Te Papa agent ID,9
http://www.wikidata.org/prop/direct/P4159,WeRelate person ID,9
http://www.wikidata.org/prop/direct/P4432,Artists of the World ID,9
http://www.wikidata.org/prop/direct/P4657,The Numbers person ID,9
http://www.wikidata.org/prop/direct/P4927,Invaluable.com person ID,9
http://www.wikidata.org/prop/direct/P5284,Douban movie celebrity ID,9
http://www.wikidata.org/prop/direct/P5337,Google News topics ID,9
http://www.wikidata.org/prop/direct/P5356,Laut.de artist ID,9
http://www.wikidata.org/prop/direct/P6275,copyright representative,9
http://www.wikidata.org/prop/direct/P6300,Hymnary author ID,9
http://www.wikidata.org/prop/direct/P6698,Japan Search name ID,9
http://www.wikidata.org/prop/direct/P6723,BlackPast.org ID,9
http://www.wikidata.org/prop/direct/P7109,Acharts.co artist ID,9
http://www.wikidata.org/prop/direct/P7745,Movie Walker Press person ID,9
http://www.wikidata.org/prop/direct/P8309,Yle topic ID,9
http://www.wikidata.org/prop/direct/P11156,MMB ID,9
