"subject_uri","birthYear","country","nationality"
"http://dbpedia.org/resource/Mikhail_Gorbachev",1931,"Russian_Soviet_Federative_Socialist_Republic",""
"http://dbpedia.org/resource/Mikhail_Gorbachev",1931,"Russian_Soviet_Federative_Socialist_Republic","Soviet"
"http://dbpedia.org/resource/Mikhail_Gorbachev",1931,"Russian_Soviet_Federative_Socialist_Republic","Soviet_people"
"http://dbpedia.org/resource/Mohamed_Sahnoun",1931,"French_Algeria","Algerian"
"http://dbpedia.org/resource/Desmond_Tutu",1931,"Union_of_South_Africa",
"http://dbpedia.org/resource/Daniel_Ellsberg",1931,,
"http://dbpedia.org/resource/David_McTaggart",1932,,"Canadian"
"http://dbpedia.org/resource/Setsuko_Thurlow",1932,,"Japanese, Canadian"
"http://dbpedia.org/resource/Paul_Krassner",1932,,
"http://dbpedia.org/resource/Louis_Vitale",1932,,
"http://dbpedia.org/resource/Dick_Gregory",1932,,
"http://dbpedia.org/resource/Sulak_Sivaraksa",1933,"Siam","Thailand"
"http://dbpedia.org/resource/Yoko_Ono",1933,,
"http://dbpedia.org/resource/Arun_Manilal_Gandhi",1934,"Union_of_South_Africa","United_States"
"http://dbpedia.org/resource/Arun_Manilal_Gandhi",1934,"Union_of_South_Africa","South_Africa"
"http://dbpedia.org/resource/Arun_Manilal_Gandhi",1934,"Union_of_South_Africa","Indian"
"http://dbpedia.org/resource/Arun_Manilal_Gandhi",1934,"Union_of_South_Africa","India"
"http://dbpedia.org/resource/Carl_Sagan",1934,,
"http://dbpedia.org/resource/Tom_Cornell",1934,,
"http://dbpedia.org/resource/Margaretta_D'Arcy",1934,,
"http://dbpedia.org/resource/Marcus_Raskin",1934,,
"http://dbpedia.org/resource/Solange_Fernex",1934,,
"http://dbpedia.org/resource/Edward_Said",1935,"Mandatory_Palestine",
"http://dbpedia.org/resource/Ron_Paul",1935,,
"http://dbpedia.org/resource/Dahlia_Ravikovitch",1936,"Mandatory_Palestine","Israeli"
"http://dbpedia.org/resource/Dahlia_Ravikovitch",1936,"Mandatory_Palestine","Israel"
"http://dbpedia.org/resource/Concepción_Picciotto",1936,,"Spanish"
"http://dbpedia.org/resource/Wavy_Gravy",1936,,"American"
"http://dbpedia.org/resource/J._Edward_Guinan",1936,,"American"
"http://dbpedia.org/resource/Václav_Havel",1936,"First_Czechoslovak_Republic",
"http://dbpedia.org/resource/James_Bevel",1936,,
"http://dbpedia.org/resource/Llorenç_Vidal_Vidal",1936,,"Spanish"
"http://dbpedia.org/resource/Abbie_Hoffman",1936,,
"http://dbpedia.org/resource/John_Hume",1937,"Northern_Ireland","Irish"
"http://dbpedia.org/resource/Martti_Ahtisaari",1937,"Russia",
"http://dbpedia.org/resource/Cheng_Yen",1937,"Taichū_Prefecture",
"http://dbpedia.org/resource/George_Lakey",1937,,
"http://dbpedia.org/resource/Jane_Fonda",1937,,
"http://dbpedia.org/resource/Colman_McCarthy",1938,,"American"
"http://dbpedia.org/resource/Ellen_Johnson_Sirleaf",1938,"Liberia",
"http://dbpedia.org/resource/Peter_Yarrow",1938,,
"http://dbpedia.org/resource/Helen_Caldicott",1938,,
"http://dbpedia.org/resource/Jerry_Rubin",1938,,
"http://dbpedia.org/resource/Marcia_Freedman",1938,,
"http://dbpedia.org/resource/Fredrik_Heffermehl",1938,,"Norway"
"http://dbpedia.org/resource/Bernie_Glassman",1939,"United_States","United_States"
